memberID,firstName,lastName,email,phoneNumber,whatsappNumber,dob,leader,ministry,occupation,bacenta,centreCode,gender,maritalStatus,Rank
0035,Antoinette,Squier,asquiery@shutterfly.com,365-890-5550,787-860-9980,7/14/2000,,Ushers,Sales Agent,Liberia Camp,08LIB,Female,Married,
0036,Jozef,Offiler,joffilerz@mayoclinic.com,867-586-4868,325-558-8292,4/4/1998,,Ushers,Lawyer,Fiifi Down,05NYA,Male,Single,
0037,Saxon,Huton,shuton10@over-blog.com,,,9/20/2014,Perkin Sperrett,Film Stars,Nurse,AIT,01AIT,Male,Married,
0038,Letisha,Wolvey,lwolvey11@geocities.com,,,12/12/1982,,Communion Stars,,Block Factory,03BLO,Female,Single,
0039,Charleen,Sarjent,csarjent12@who.int,802-724-3087,488-735-1092,7/27/1984,Davide Gribbell,Film Stars,Architect,AIT,01AIT,Female,Single,
0040,Alie,Renackowna,arenackowna13@alexa.com,,,7/1/1993,,,Sales Agent,Columba,04COL,Female,Single,
0041,Oswell,Brightman,obrightman14@ft.com,963-162-4024,344-607-9888,9/17/2001,Perkin Sperrett,Ushers,Doctor,Nyanyano,05NYA,Male,Single,
0042,Morse,Loadwick,mloadwick15@is.gd,,,3/20/2013,,,Teacher,Tetegu,10TET,Male,Single,
0043,Pebrook,Dessant,pdessant16@geocities.com,768-255-5979,640-169-2028,7/31/1986,Davide Gribbell,Communion Stars,Doctor,Kings,07KIN,Male,Married,
0044,Laverna,McGrale,lmcgrale17@github.com,342-804-2753,867-895-5081,2/6/1992,,Airport Stars,Banker,Tetegu,10TET,Female,Single,
0045,Guenna,Ollerton,gollerton18@washingtonpost.com,166-311-0130,301-363-5692,8/19/1997,Leonardo McSparran,Film Stars,Lawyer,Nyanyano,05NYA,Female,Married,
0046,Crin,Barff,cbarff19@imdb.com,638-871-8246,423-839-5388,10/6/1997,,Greater Love Choir,Sales Agent,Liberia Camp,08LIB,Female,Married,
0047,Raychel,Cleveley,rcleveley1a@4shared.com,,,10/5/1983,,Business Community,Nurse,American Down,02AME,Female,Married,
0048,Charlie,Leebeter,cleebeter1b@cafepress.com,367-452-8650,782-219-6789,5/1/1999,,Airport Stars,,Kasoa,06KAS,Male,Married,
0049,Sandie,Treend,streend1c@npr.org,463-191-0276,597-173-7842,4/1/2013,,Airport Stars,Teacher,Tetegu,10TET,Female,Single,
0050,Mallissa,Blockwell,mblockwell1d@paginegialle.it,556-307-6435,519-846-7352,5/18/2001,,Film Stars,Nurse,Kasoa,06KAS,Female,Married,
0051,Adara,Rowley,arowley1e@weibo.com,,,5/7/1992,,Ushers,Banker,Kings,07KIN,Female,Married,
0052,Kalindi,Battson,kbattson1f@hhs.gov,283-987-2695,261-873-7505,6/22/1982,,Communion Stars,,Kings,07KIN,Female,Single,
0053,Dicky,Wickliffe,dwickliffe1g@people.com.cn,135-834-2607,779-163-2266,2/1/1994,,Film Stars,IT Professional,Block Factory,03BLO,Male,Married,
0054,Jefferey,Revel,jrevel1h@people.com.cn,,,10/29/1980,,Business Community,Teacher,AIT,01AIT,Male,Single,
0055,Ted,Gateshill,tgateshill1i@cornell.edu,643-738-3810,634-864-3045,3/15/1980,,Airport Stars,Lawyer,Columba,04COL,Male,Married,
0056,Harli,Yapp,hyapp1j@thetimes.co.uk,,,2/4/1980,,Airport Stars,Nurse,Kings,07KIN,Female,Single,
0057,Gasper,Stapels,gstapels1k@reuters.com,179-460-8779,229-469-9689,5/12/1985,,Business Community,,Block Factory,03BLO,Male,Single,
0058,Del,Mitchelson,dmitchelson1l@blogger.com,,,1/16/2006,,Airport Stars,Banker,American Down,02AME,Female,Single,
0059,Rosamund,Scrimshire,rscrimshire1m@deliciousdays.com,,,8/29/1985,Perkin Sperrett,Film Stars,Teacher,Fiifi Down,05NYA,Female,Married,
0060,Cleve,Hawkshaw,chawkshaw1n@hexun.com,501-766-8842,775-931-9789,1/19/1991,,Communion Stars,Teacher,Kasoa,06KAS,Male,Single,
0061,Perkin,Sperrett,psperrett1o@prweb.com,505-673-7346,447-275-0500,1/1/1984,,Ushers,,American Down,02AME,Male,Married,
0062,Carolus,Garz,cgarz1p@e-recht24.de,765-651-0963,459-391-7113,2/28/2000,,Dancing Stars,IT Professional,Kings,07KIN,Male,Married,
0063,Gunner,De Ruggero,gderuggero1q@yandex.ru,123-441-0637,472-224-4051,6/8/2004,,,Teacher,Nyanyano,05NYA,Male,Single,
0064,Eveleen,Confort,econfort1r@rambler.ru,243-184-8427,133-719-6123,4/28/1987,,Business Community,Lawyer,Liberia Camp,08LIB,Female,Single,
0065,Cleve,Astbery,castbery1s@163.com,,,2/5/1991,,Ushers,,St Karols,09STK,Male,Single,
0066,Guglielmo,Esparza,gesparza1t@dyndns.org,,,7/12/1995,,Film Stars,Doctor,American Down,02AME,Male,Married,
0067,Engracia,Artiss,eartiss1u@ask.com,836-214-7477,593-213-0897,8/16/2007,Leonardo McSparran,,Doctor,St Karols,09STK,Female,Single,
0068,Shae,Bosher,sbosher1v@uiuc.edu,847-909-4208,627-419-5550,8/3/2011,Perkin Sperrett,,Engineer,Iron City,06KAS,Male,Single,
0069,Lucine,Swindley,lswindley1w@sciencedaily.com,571-613-7178,496-476-7664,10/20/1989,,Airport Stars,IT Professional,Iron City,06KAS,Female,Married,
0070,Saundra,MacIlurick,smacilurick1x@dagondesign.com,944-476-4451,142-396-9370,12/14/2001,,Business Community,Driver,Tetegu,10TET,Male,Married,
0071,Steffi,Heazel,sheazel1y@amazonaws.com,,,1/22/2001,,Airport Stars,Banker,Block Factory,03BLO,Female,Married,
0072,Orin,Crafter,ocrafter1z@discuz.net,,,12/2/2004,,Airport Stars,Nurse,St Karols,09STK,Male,Married,
0073,Nerty,Oldknowe,noldknowe20@businessweek.com,,,1/25/1991,,Dancing Stars,Nurse,Kasoa,06KAS,Female,Single,
0074,Chrissie,Branwhite,cbranwhite21@newsvine.com,,,11/26/2009,,Airport Stars,,Columba,04COL,Female,Single,
0075,Rey,Spellworth,rspellworth22@bing.com,,,12/8/1991,,Ushers,Sales Agent,Columba,04COL,Male,Married,
0076,Mari,Teml,mteml23@harvard.edu,,,7/20/1993,Davide Gribbell,Airport Stars,IT Professional,Block Factory,03BLO,Female,Single,
0077,Morena,Dubique,mdubique24@printfriendly.com,431-142-3884,733-951-7301,2/2/1986,,Film Stars,Doctor,Kasoa,06KAS,Female,Married,
0078,La verne,Skyram,lskyram25@ucsd.edu,,,3/2/2010,,Ushers,Sales Agent,Tetegu,10TET,Female,Single,
0079,Lemar,Hutton,lhutton26@hhs.gov,474-220-2045,930-598-2553,6/14/1987,,Business Community,Sales Agent,St Karols,09STK,Male,Married,
0080,Aldis,Suatt,asuatt27@yahoo.com,422-416-7556,623-365-4795,2/3/2001,,Business Community,Doctor,Tetegu,10TET,Male,Single,
0081,Dalton,Griston,dgriston28@discuz.net,754-215-7819,784-990-9396,2/17/1996,,Ushers,Driver,Tetegu,10TET,Male,Single,
0082,Karrie,Jeffery,kjeffery29@youtube.com,257-133-5700,132-968-9567,5/2/2010,,Business Community,Lawyer,Fiifi Down,05NYA,Female,Married,
0083,Herta,Beefon,hbeefon2a@archive.org,420-469-6368,851-564-4897,7/8/2011,Leonardo McSparran,Ushers,Sales Agent,Block Factory,03BLO,Female,Single,
0084,Ed,Burriss,eburriss2b@t-online.de,887-142-6998,753-806-0994,5/20/2007,,Greater Love Choir,Lawyer,West End,11WES,Male,Married,
0085,Deborah,O'Hannay,dohannay2c@tiny.cc,563-233-3969,995-887-1721,2/23/1999,,,Driver,Fiifi Down,05NYA,Female,Single,
0086,Morey,Pele,mpele2d@g.co,199-893-9866,810-159-5347,10/9/2008,,Greater Love Choir,Doctor,American Down,02AME,Male,Married,
0087,Dottie,Caught,dcaught2e@nsw.gov.au,,,10/18/2008,,Airport Stars,,Columba,04COL,Female,Married,
0088,Roderich,Shinner,rshinner2f@trellian.com,588-713-5944,336-232-9848,12/3/1984,,,Teacher,West End,11WES,Male,Single,
0089,Paulina,Budden,pbudden2g@feedburner.com,253-373-4253,282-189-1324,7/18/1994,Davide Gribbell,Dancing Stars,Doctor,Tetegu,10TET,Female,Single,
0090,Aleece,Boydle,aboydle2h@flickr.com,,,9/18/1980,Perkin Sperrett,Film Stars,Banker,Block Factory,03BLO,Female,Single,
0091,Nefen,Erington,nerington2i@github.com,751-141-3716,702-889-3616,3/12/1983,,Airport Stars,Banker,AIT,01AIT,Male,Married,
0092,Esme,Dosdale,edosdale2j@stanford.edu,515-802-8222,813-660-1421,7/1/1994,,Film Stars,Doctor,St Karols,09STK,Female,Married,
0093,Trixie,Friskey,tfriskey2k@g.co,763-509-5399,580-433-2710,3/15/1999,,Ushers,Architect,West End,11WES,Female,Married,
0094,Fidela,Alexandre,falexandre2l@naver.com,167-248-8579,501-530-9865,11/7/1989,,Ushers,Banker,Liberia Camp,08LIB,Female,Married,
0095,Davide,Gribbell,dgribbell2m@sciencedirect.com,,,1/11/1995,,Communion Stars,Engineer,Fiifi Down,05NYA,Male,Married,
0096,Florentia,Lattka,flattka2n@ox.ac.uk,,,6/13/2004,,Airport Stars,Sales Agent,Block Factory,03BLO,Female,Married,
0097,Brunhilde,Govey,bgovey2o@seesaa.net,,,10/4/2010,,Dancing Stars,Architect,Fiifi Down,05NYA,Female,Single,
0098,Ursola,Cutts,ucutts2p@redcross.org,637-350-2748,975-156-9749,5/22/1986,,Airport Stars,Sales Agent,Nyanyano,05NYA,Female,Married,
0099,Sander,Keyzman,skeyzman2q@goo.gl,,,5/10/1999,,Dancing Stars,Banker,Block Factory,03BLO,Male,Married,
0100,Rafaello,McOmish,rmcomish2r@addthis.com,,,10/10/2004,,Communion Stars,,Tetegu,10TET,Male,Single,
0101,Francklin,O'Farris,fofarris2s@bluehost.com,811-510-5283,952-703-7198,9/12/1987,Perkin Sperrett,Film Stars,Architect,Iron City,06KAS,Male,Single,
0102,Frazier,Hacksby,fhacksby2t@t-online.de,408-827-2260,723-969-9498,6/29/2008,,Film Stars,Doctor,Iron City,06KAS,Male,Married,
0103,Moore,Parzizek,mparzizek2u@zimbio.com,228-244-8282,770-920-6620,7/8/1994,Davide Gribbell,Airport Stars,Driver,Liberia Camp,08LIB,Male,Married,
0104,Pegeen,Gillbard,pgillbard2v@tuttocitta.it,625-332-4215,601-908-4923,7/1/2010,,Ushers,Teacher,Fiifi Down,05NYA,Female,Married,
0105,Paxon,Goode,pgoode2w@imageshack.us,793-750-9247,671-679-4119,1/19/1997,,Dancing Stars,Driver,St Karols,09STK,Male,Married,
0106,Leonardo,McSparran,lmcsparran2x@marketwatch.com,238-425-2032,501-929-2397,1/1/2012,,Greater Love Choir,,Iron City,06KAS,Male,Single,
0107,Bryana,Grennan,bgrennan2y@livejournal.com,,,7/20/2014,Davide Gribbell,Ushers,Teacher,Tetegu,10TET,Female,Single,
0108,Xena,Packington,xpackington2z@time.com,957-240-8802,302-460-8649,8/16/2013,Leonardo McSparran,Airport Stars,Nurse,Kings,07KIN,Female,Married,
0109,Davide,Sokell,dsokell30@joomla.org,,,8/20/1983,Leonardo McSparran,Communion Stars,Driver,Nyanyano,05NYA,Male,Single,
0110,Yolande,Noddles,ynoddles31@bigcartel.com,821-784-3596,616-174-9573,6/14/2011,,Business Community,Teacher,American Down,02AME,Female,Single,
0111,Errick,Coulson,ecoulson32@feedburner.com,905-738-9999,662-864-0625,8/14/2007,Leonardo McSparran,Communion Stars,Engineer,AIT,01AIT,Male,Single,
0112,Hermann,Dimbleby,hdimbleby33@mtv.com,,,10/21/1984,,Greater Love Choir,Lawyer,American Down,02AME,Male,Single,
0113,Cahra,Drew-Clifton,cdrewclifton34@technorati.com,230-264-1611,555-748-3455,6/15/1983,,,Lawyer,Iron City,06KAS,Female,Single,
0114,Nap,Bucham,nbucham35@lulu.com,146-370-3386,241-888-3897,10/29/2005,,Communion Stars,Driver,Kings,07KIN,Male,Married,
0115,Hank,Bellin,hbellin36@jiathis.com,,,11/24/1994,,,IT Professional,Kasoa,06KAS,Male,Married,
0116,Maurene,Hubeaux,mhubeaux37@list-manage.com,,,10/4/2003,,Greater Love Choir,Nurse,Iron City,06KAS,Female,Married,
0117,Quinlan,Jimpson,qjimpson38@newsvine.com,978-279-6522,348-559-2834,5/20/2009,,Greater Love Choir,IT Professional,Block Factory,03BLO,Male,Single,
0118,Junia,Skehan,jskehan39@flavors.me,891-398-2985,228-296-9585,6/11/2003,,Business Community,Engineer,Tetegu,10TET,Female,Single,
0119,Timi,Purvess,tpurvess3a@china.com.cn,138-623-9127,850-242-3105,11/22/1993,,Film Stars,IT Professional,Tetegu,10TET,Female,Single,
0120,Amerigo,Kleinfeld,akleinfeld3b@dmoz.org,597-541-7485,122-681-0393,10/8/1999,,Business Community,,West End,11WES,Male,Married,
0121,Ikey,Saleway,isaleway3c@surveymonkey.com,127-729-1281,262-744-6856,10/6/1988,,Ushers,Sales Agent,Columba,04COL,Male,Single,
0122,Louis,Blanque,lblanque3d@google.de,967-635-6998,555-604-2613,4/7/2003,,Business Community,Architect,St Karols,09STK,Male,Married,
0123,Elyse,Walentynowicz,ewalentynowicz3e@gnu.org,839-577-7062,721-144-0291,7/29/1994,Davide Gribbell,Film Stars,Teacher,Kasoa,06KAS,Female,Single,
0124,Gladi,Templman,gtemplman3f@artisteer.com,,,11/20/1990,,Greater Love Choir,Banker,Liberia Camp,08LIB,Female,Single,
0125,Aila,Loche,aloche3g@biblegateway.com,,,3/6/1987,,Business Community,Sales Agent,Iron City,06KAS,Female,Single,
0126,Harland,Horburgh,hhorburgh3h@constantcontact.com,202-846-0088,617-587-6457,3/3/2003,,Film Stars,,West End,11WES,Male,Single,
0127,Tessy,Warbys,twarbys3i@cyberchimps.com,,,5/13/1986,,,Nurse,Kings,07KIN,Female,Single,
0128,Nial,Summerton,nsummerton3j@xinhuanet.com,426-905-7898,871-607-4903,7/2/1993,Davide Gribbell,Greater Love Choir,,Tetegu,10TET,Male,Single,
0129,Fernanda,Danilin,fdanilin3k@dell.com,657-434-6868,220-335-0170,2/14/1990,,Dancing Stars,,St Karols,09STK,Female,Single,
0130,Nertie,Wilshaw,nwilshaw3l@ifeng.com,,,5/27/1984,,Dancing Stars,Teacher,West End,11WES,Female,Married,
0131,Lib,Porrett,lporrett3m@google.cn,283-342-8809,-358-7744,12/27/1987,,Business Community,Driver,Fiifi Down,05NYA,Female,Married,
0132,Shara,Brounfield,sbrounfield3n@ezinearticles.com,,,5/15/1986,,Communion Stars,Driver,Block Factory,03BLO,Female,Single,
0133,Aeriell,Grzegorecki,agrzegorecki3o@npr.org,225-163-1958,564-795-3090,5/12/1987,,Greater Love Choir,Architect,Fiifi Down,05NYA,Female,Single,
0134,Ninetta,Sidwick,nsidwick3p@opensource.org,,,3/16/1988,,Airport Stars,Nurse,AIT,01AIT,Female,Married,
0135,Kingsley,Bohike,kbohike3q@ustream.tv,933-213-5264,933-270-5093,1/29/2008,,Film Stars,Architect,Block Factory,03BLO,Male,Married,
0136,Marillin,Scrivens,mscrivens3r@liveinternet.ru,123-379-1712,808-599-0996,3/2/2006,,Film Stars,IT Professional,West End,11WES,Female,Single,
0137,Matthias,Beard,mbeard3s@tripadvisor.com,,,7/6/1988,Davide Gribbell,,Banker,Kings,07KIN,Male,Married,
0138,Corbett,Rendell,crendell3t@google.co.jp,,,11/22/2012,,Ushers,Sales Agent,West End,11WES,Male,Married,
0139,Loree,Davson,ldavson3u@goodreads.com,,,3/12/2000,,Greater Love Choir,IT Professional,Tetegu,10TET,Female,Single,
0140,Rogerio,Saul,rsaul3v@sitemeter.com,201-610-0234,639-526-8806,1/4/2013,,Communion Stars,Lawyer,Fiifi Down,05NYA,Male,Married,
0141,Jelene,Brear,jbrear3w@paginegialle.it,,,7/10/2015,,Film Stars,,Tetegu,10TET,Female,Single,
0142,Westbrook,McHale,wmchale3x@dagondesign.com,965-640-9752,914-972-4266,8/17/2004,Leonardo McSparran,Ushers,Architect,Liberia Camp,08LIB,Male,Single,
0143,Asher,Crews,acrews3y@feedburner.com,,,5/17/2004,,Ushers,Teacher,Nyanyano,05NYA,Male,Single,
0144,Ralf,Riolfo,rriolfo3z@psu.edu,987-211-6500,316-440-1201,2/27/1986,,Business Community,,Kings,07KIN,Male,Single,
0145,Nicoli,Rudgerd,nrudgerd40@psu.edu,516-839-2870,571-733-2155,4/30/1991,,Communion Stars,,American Down,02AME,Female,Single,
0146,Lancelot,Hawsby,lhawsby41@trellian.com,,,12/8/1997,,Ushers,Lawyer,West End,11WES,Male,Single,
0147,Monica,Ballance,mballance42@elpais.com,202-888-7787,308-171-6436,12/31/1983,,Greater Love Choir,Driver,St Karols,09STK,Female,Single,
0148,Josh,Massingberd,jmassingberd43@utexas.edu,178-848-3078,789-139-0326,6/18/1998,,Film Stars,,Columba,04COL,Male,Married,
0149,Quill,Eagle,qeagle44@wikipedia.org,425-730-1990,457-696-3925,12/10/2015,,Dancing Stars,Engineer,Kasoa,06KAS,Male,Married,
0150,Regina,Espadero,respadero45@aboutads.info,,,11/24/1987,,Film Stars,Sales Agent,Columba,04COL,Female,Single,
